20171001 191100;4.313400;4.313500;4.313400;4.313400;0
20171001 191200;4.313400;4.313400;4.313400;4.313400;0
20171001 191300;4.313400;4.313400;4.313400;4.313400;0
20171001 191500;4.313400;4.313500;4.313300;4.313500;0
20171001 191600;4.313400;4.313500;4.313400;4.313500;0
20171001 191700;4.313400;4.313500;4.313400;4.313500;0
20171001 191800;4.313500;4.313500;4.313300;4.313500;0
20171001 191900;4.313400;4.313400;4.313400;4.313400;0
20171001 192000;4.313500;4.313500;4.313400;4.313500;0
20171001 192100;4.313400;4.313400;4.313400;4.313400;0
20171001 192200;4.313300;4.313400;4.313300;4.313400;0
20171001 192300;4.313400;4.313400;4.313400;4.313400;0
20171001 192400;4.313300;4.313400;4.313300;4.313400;0
20171001 192500;4.313300;4.313400;4.313300;4.313400;0
20171001 192800;4.313400;4.313400;4.313400;4.313400;0
20171001 192900;4.313500;4.313500;4.313500;4.313500;0
20171001 193000;4.313300;4.313500;4.313300;4.313500;0
20171001 193100;4.313400;4.313500;4.313400;4.313500;0
20171001 193200;4.313400;4.313500;4.313400;4.313500;0
20171001 193300;4.313500;4.313500;4.313500;4.313500;0
20171001 193400;4.313500;4.313500;4.313500;4.313500;0
20171001 193500;4.313400;4.313500;4.313400;4.313500;0
20171001 193600;4.313400;4.313500;4.313400;4.313500;0
20171001 193800;4.313500;4.313500;4.313400;4.313500;0
20171001 193900;4.313400;4.313500;4.313400;4.313500;0
20171001 194000;4.313400;4.313500;4.313200;4.313500;0
20171001 194200;4.313400;4.313500;4.313400;4.313500;0
20171001 194300;4.313500;4.313500;4.313500;4.313500;0
20171001 194400;4.313500;4.313500;4.313500;4.313500;0
20171001 194700;4.313500;4.313500;4.313500;4.313500;0
20171001 194900;4.313500;4.313500;4.313500;4.313500;0
20171001 195000;4.313500;4.313500;4.313400;4.313500;0
20171001 195300;4.313400;4.313500;4.313400;4.313500;0
20171001 195500;4.313500;4.313500;4.313500;4.313500;0
20171001 195600;4.313500;4.313500;4.313500;4.313500;0
20171001 195700;4.313500;4.313500;4.313500;4.313500;0
20171001 195800;4.313400;4.313500;4.313400;4.313500;0
20171001 195900;4.313400;4.313500;4.313400;4.313500;0
20171001 200000;4.313500;4.313500;4.313400;4.313500;0
20171001 200100;4.313400;4.313500;4.313400;4.313500;0
20171001 200200;4.313400;4.313500;4.313300;4.313400;0
20171001 200300;4.313300;4.313500;4.313300;4.313400;0
20171001 200400;4.313500;4.313500;4.313400;4.313400;0
20171001 200500;4.313300;4.313500;4.313300;4.313400;0
20171001 200600;4.313500;4.313500;4.313400;4.313500;0
20171001 200800;4.313400;4.313500;4.313400;4.313500;0
20171001 200900;4.313500;4.313500;4.313500;4.313500;0
20171001 201100;4.313500;4.313500;4.313500;4.313500;0
20171001 201200;4.313400;4.313500;4.313400;4.313500;0
20171001 201300;4.313500;4.313500;4.313500;4.313500;0
20171001 201400;4.313400;4.313500;4.313400;4.313500;0
20171001 201500;4.313400;4.313500;4.313400;4.313500;0
20171001 201600;4.313400;4.313500;4.313400;4.313500;0
20171001 201700;4.313400;4.313500;4.313300;4.313500;0
20171001 201900;4.313400;4.313500;4.313400;4.313500;0
20171001 202000;4.313400;4.313500;4.313400;4.313500;0
20171001 202100;4.313400;4.313500;4.313400;4.313500;0
20171001 202300;4.313400;4.313500;4.313400;4.313500;0
20171001 202400;4.313400;4.313500;4.313400;4.313500;0
20171001 202500;4.313300;4.313500;4.313300;4.313500;0
20171001 202700;4.313400;4.313500;4.313400;4.313500;0
20171001 202800;4.313400;4.313500;4.313400;4.313500;0
20171001 203100;4.313400;4.313500;4.312300;4.312400;0
20171001 203200;4.312300;4.312400;4.312200;4.312300;0
20171001 203300;4.312400;4.312400;4.312300;4.312300;0
20171001 203400;4.312300;4.312400;4.312300;4.312400;0
20171001 203500;4.312300;4.312400;4.312300;4.312400;0
20171001 203600;4.312300;4.312400;4.312300;4.312400;0
20171001 203700;4.312300;4.312300;4.312300;4.312300;0
20171001 203800;4.312200;4.312300;4.312200;4.312300;0
20171001 203900;4.312300;4.312300;4.312200;4.312200;0
20171001 204000;4.312400;4.312500;4.312000;4.312100;0
20171001 204100;4.311700;4.311700;4.311200;4.311300;0
20171001 204200;4.311200;4.311300;4.311100;4.311100;0
20171001 204400;4.311000;4.311700;4.310700;4.310700;0
20171001 204500;4.310800;4.310800;4.310700;4.310700;0
20171001 204700;4.310700;4.310700;4.310700;4.310700;0
20171001 204900;4.310600;4.310600;4.310300;4.310300;0
20171001 205100;4.310500;4.310500;4.310500;4.310500;0
20171001 205200;4.310600;4.310600;4.310500;4.310500;0
20171001 205300;4.310400;4.310600;4.308000;4.308100;0
20171001 205400;4.308200;4.308500;4.301700;4.301700;0
20171001 205500;4.300550;4.303750;4.298550;4.298850;0
20171001 205600;4.298850;4.298950;4.298150;4.298150;0
20171001 205700;4.298050;4.298050;4.298050;4.298050;0
20171001 205900;4.298050;4.298050;4.297550;4.297650;0
20171001 210000;4.297750;4.297750;4.297650;4.297650;0
20171001 210100;4.297750;4.297750;4.297650;4.297750;0
20171001 210200;4.297650;4.297750;4.297650;4.297750;0
20171001 210300;4.297750;4.297750;4.297750;4.297750;0
20171001 210400;4.297750;4.297750;4.297650;4.297650;0
20171001 210500;4.297550;4.297650;4.297550;4.297650;0
20171001 210600;4.297650;4.297750;4.297650;4.297750;0
20171001 210700;4.297750;4.297750;4.297750;4.297750;0
20171001 210800;4.297760;4.298130;4.297730;4.297750;0
20171001 210900;4.297920;4.298100;4.297650;4.297750;0
20171001 211000;4.297550;4.297650;4.297450;4.297650;0
20171001 211100;4.297650;4.297940;4.297650;4.297750;0
20171001 211200;4.297750;4.297920;4.297550;4.297750;0
20171001 211300;4.297650;4.297650;4.297650;4.297650;0
20171001 211400;4.297690;4.297690;4.297650;4.297690;0
20171001 211500;4.297650;4.297810;4.297650;4.297810;0
20171001 211700;4.297980;4.298190;4.297750;4.297750;0
20171001 211800;4.297850;4.297850;4.297850;4.297850;0
20171001 211900;4.297850;4.297850;4.297850;4.297850;0
20171001 212000;4.298050;4.298050;4.298050;4.298050;0
20171001 212400;4.298050;4.298050;4.298000;4.298050;0
20171001 212500;4.298000;4.298000;4.298000;4.298000;0
20171001 212900;4.298000;4.298400;4.297950;4.298100;0
20171001 213000;4.298300;4.298750;4.298100;4.298750;0
20171001 213100;4.298650;4.298850;4.298550;4.298850;0
20171001 213200;4.298750;4.298850;4.298750;4.298750;0
20171001 213300;4.298750;4.298750;4.298650;4.298650;0
20171001 213500;4.298750;4.298750;4.298650;4.298650;0
20171001 213700;4.298650;4.298650;4.298650;4.298650;0
20171001 213900;4.298600;4.298600;4.298600;4.298600;0
20171001 214000;4.298700;4.298750;4.298600;4.298750;0
20171001 214100;4.298750;4.298750;4.298750;4.298750;0
20171001 214400;4.298650;4.298750;4.298650;4.298650;0
20171001 214500;4.298750;4.298750;4.298650;4.298750;0
20171001 214600;4.298750;4.298850;4.298650;4.298750;0
20171001 214800;4.298650;4.298650;4.298650;4.298650;0
20171001 215100;4.298650;4.298650;4.298650;4.298650;0
20171001 215200;4.298650;4.298650;4.298650;4.298650;0
20171001 215400;4.296640;4.296640;4.296640;4.296640;0
20171001 215500;4.296780;4.298600;4.296540;4.298600;0
20171001 215700;4.298600;4.298850;4.298600;4.298850;0
20171001 215800;4.298850;4.298850;4.298650;4.298650;0
20171001 215900;4.298650;4.298650;4.298550;4.298550;0
20171001 220000;4.298550;4.298550;4.298550;4.298550;0
20171001 220400;4.298550;4.298550;4.298550;4.298550;0
20171001 220500;4.298450;4.298450;4.298450;4.298450;0
20171001 220600;4.298450;4.298450;4.298450;4.298450;0
20171001 220700;4.298450;4.299750;4.298450;4.299750;0
20171001 220800;4.299760;4.300200;4.299380;4.300150;0
20171001 220900;4.299920;4.300750;4.299920;4.300750;0
20171001 221000;4.300660;4.300670;4.300560;4.300670;0
20171001 221100;4.300790;4.303150;4.300790;4.302550;0
20171001 221200;4.302700;4.302950;4.302700;4.302950;0
20171001 221300;4.302900;4.303100;4.302900;4.303050;0
20171001 221600;4.305300;4.305600;4.301540;4.301570;0
20171001 221700;4.301670;4.302300;4.301220;4.302260;0
20171001 221800;4.301950;4.306060;4.301870;4.305880;0
20171001 221900;4.305990;4.306780;4.305990;4.306700;0
20171001 222000;4.307100;4.307100;4.306660;4.306660;0
20171001 222100;4.306950;4.306950;4.306660;4.306660;0
20171001 222200;4.305820;4.306260;4.303650;4.306260;0
20171001 222300;4.306050;4.306150;4.306050;4.306150;0
20171001 222400;4.306050;4.306150;4.306050;4.306150;0
20171001 222500;4.306050;4.306150;4.306050;4.306050;0
20171001 222600;4.306150;4.306150;4.306050;4.306150;0
20171001 222700;4.306050;4.306150;4.306050;4.306050;0
20171001 223000;4.306150;4.306150;4.306050;4.306150;0
20171001 223100;4.306050;4.306150;4.306050;4.306150;0
20171001 223200;4.306050;4.306150;4.306050;4.306150;0
20171001 223300;4.306050;4.306150;4.306050;4.306150;0
20171001 223400;4.306050;4.306150;4.306050;4.306150;0
20171001 223500;4.306050;4.306150;4.306050;4.306150;0
20171001 223600;4.306150;4.306150;4.306050;4.306050;0
20171001 223700;4.306050;4.306050;4.306050;4.306050;0
20171001 223900;4.305450;4.305450;4.304200;4.304380;0
20171001 224100;4.304150;4.304150;4.304150;4.304150;0
20171001 224200;4.304370;4.304370;4.304060;4.304060;0
20171001 224300;4.304060;4.304060;4.304060;4.304060;0
20171001 224700;4.304100;4.304100;4.304100;4.304100;0
20171001 225000;4.304220;4.304220;4.304220;4.304220;0
20171001 225200;4.304220;4.304220;4.304220;4.304220;0
20171001 225500;4.303500;4.303500;4.303500;4.303500;0
20171001 225600;4.304580;4.304580;4.304580;4.304580;0
20171001 230100;4.304060;4.304060;4.304060;4.304060;0
20171001 230200;4.303900;4.304290;4.303900;4.304290;0
20171001 230800;4.303750;4.303750;4.303750;4.303750;0
20171001 230900;4.303020;4.303050;4.303020;4.303050;0
20171001 231000;4.303040;4.303040;4.303040;4.303040;0
20171001 231100;4.304490;4.304490;4.304490;4.304490;0
20171001 231600;4.303750;4.303750;4.303750;4.303750;0
20171001 231700;4.304480;4.304480;4.304480;4.304480;0
20171001 232100;4.304830;4.304830;4.304830;4.304830;0
20171001 232600;4.303040;4.303750;4.303040;4.303750;0
20171001 233000;4.303650;4.303750;4.303650;4.303750;0
20171001 233400;4.303650;4.303750;4.303650;4.303750;0
20171001 233700;4.303500;4.304530;4.303500;4.304300;0
20171001 233800;4.304110;4.304110;4.303200;4.303370;0
20171001 233900;4.303500;4.303500;4.301450;4.301450;0
20171001 234000;4.301650;4.301650;4.301650;4.301650;0
20171001 234100;4.301910;4.301910;4.301190;4.301270;0
20171001 234300;4.301610;4.301640;4.301050;4.301250;0
20171001 234600;4.306200;4.307300;4.306200;4.306900;0
20171001 234700;4.306800;4.306900;4.306600;4.306650;0
20171001 235100;4.306650;4.306650;4.306650;4.306650;0
20171001 235200;4.305520;4.305770;4.303610;4.303650;0
20171001 235300;4.303650;4.303650;4.303400;4.303400;0
20171001 235400;4.303260;4.303270;4.303240;4.303240;0
20171001 235500;4.303200;4.303200;4.302900;4.302900;0
20171001 235600;4.302920;4.302940;4.302760;4.302760;0
20171001 235700;4.302600;4.302730;4.302600;4.302730;0
20171001 235800;4.302690;4.302690;4.302560;4.302560;0
20171001 235900;4.302550;4.302580;4.302550;4.302580;0
20171002 000000;4.302520;4.302530;4.302520;4.302520;0
20171002 000100;4.302440;4.302520;4.302420;4.302420;0
20171002 000200;4.302390;4.302420;4.302390;4.302400;0
20171002 000300;4.302070;4.302190;4.302070;4.302190;0
20171002 000400;4.302180;4.302180;4.302170;4.302180;0
20171002 000500;4.302160;4.302160;4.302160;4.302160;0
20171002 000600;4.302030;4.302090;4.302030;4.302080;0
20171002 000700;4.302050;4.302050;4.302030;4.302050;0
20171002 000800;4.302060;4.302060;4.302020;4.302020;0
20171002 000900;4.302050;4.302050;4.302050;4.302050;0
20171002 001000;4.302030;4.302050;4.302030;4.302050;0
20171002 001100;4.302070;4.302110;4.302070;4.302110;0
20171002 001200;4.302050;4.302050;4.301950;4.301950;0
20171002 001300;4.302030;4.302030;4.301910;4.301910;0
20171002 001400;4.301880;4.301880;4.301860;4.301870;0
20171002 001500;4.301840;4.301840;4.301820;4.301820;0
20171002 001600;4.301910;4.301950;4.301910;4.301950;0
20171002 001800;4.301810;4.301810;4.301810;4.301810;0
20171002 001900;4.301770;4.301770;4.301740;4.301740;0
20171002 002000;4.301740;4.301740;4.301740;4.301740;0
20171002 002100;4.301740;4.301740;4.301740;4.301740;0
20171002 002200;4.301740;4.301740;4.301740;4.301740;0
20171002 002300;4.301740;4.301740;4.301740;4.301740;0
20171002 002400;4.301520;4.301550;4.301500;4.301500;0
20171002 002500;4.301490;4.301500;4.301490;4.301500;0
20171002 002600;4.301580;4.301580;4.301580;4.301580;0
20171002 002700;4.301580;4.301580;4.301580;4.301580;0
20171002 002800;4.301580;4.301580;4.301580;4.301580;0
20171002 002900;4.301580;4.301580;4.301580;4.301580;0
20171002 003000;4.301580;4.301580;4.301580;4.301580;0
20171002 003100;4.301480;4.301480;4.301440;4.301450;0
20171002 003200;4.301870;4.301870;4.301870;4.301870;0
20171002 003300;4.301870;4.301870;4.301870;4.301870;0
20171002 003400;4.301870;4.301870;4.301870;4.301870;0
20171002 003500;4.301870;4.301870;4.301870;4.301870;0
20171002 003600;4.301870;4.301870;4.301800;4.301800;0
20171002 004100;4.302010;4.302120;4.302010;4.302120;0
20171002 004200;4.302130;4.302130;4.302130;4.302130;0
20171002 004300;4.302150;4.302180;4.302150;4.302180;0
20171002 004400;4.302170;4.302170;4.302170;4.302170;0
20171002 004500;4.302180;4.302180;4.302130;4.302130;0
20171002 004600;4.302120;4.302190;4.302120;4.302190;0
20171002 004700;4.302200;4.302200;4.302170;4.302170;0
20171002 004800;4.302190;4.302200;4.302170;4.302170;0
20171002 004900;4.302160;4.302170;4.302160;4.302170;0
20171002 005000;4.302140;4.302190;4.302140;4.302190;0
