FID	X	Y	GMT date_H	GMT date	Y	M	D	H	DOP	IDbear	IDsquare_025ha	IDsquare_100ha	IDsquare_900ha
1092821	1431059.87	6821822.67	2012-04-29 05:00	2012-04-29	2012	4	29	5	4,2	W1203	17240	4277	488
1092822	1431034.92	6821854.47	2012-04-29 06:00	2012-04-29	2012	4	29	6	3,6	W1203	17240	4277	488
1092823	1431050.36	6821852.06	2012-04-29 07:00	2012-04-29	2012	4	29	7	5,8	W1203	17240	4277	488
1092824	1431054.56	6821846.51	2012-04-29 08:00	2012-04-29	2012	4	29	8	2,6	W1203	17240	4277	488
1092825	1431069.49	6821854.26	2012-04-29 09:00	2012-04-29	2012	4	29	9	2,4	W1203	17240	4277	488
1092826	1431076.24	6821590.63	2012-04-29 11:00	2012-04-29	2012	4	29	11	3	W1203	17038	4277	488
1092827	1430882.11	6821948.65	2012-04-29 12:00	2012-04-29	2012	4	29	12	4,6	W1203	17239	4277	488
1092828	1431051.92	6822380.29	2012-04-29 13:00	2012-04-29	2012	4	29	13	3,6	W1203	17442	4378	488
1092829	1431045.62	6822419.18	2012-04-29 14:00	2012-04-29	2012	4	29	14	4,4	W1203	17442	4378	488
1092830	1430967.09	6822395.06	2012-04-29 15:00	2012-04-29	2012	4	29	15	1,6	W1203	17441	4378	488
1092831	1430970.12	6822392.71	2012-04-29 16:00	2012-04-29	2012	4	29	16	4,2	W1203	17441	4378	488
1092832	1431033.77	6822440.39	2012-04-29 17:00	2012-04-29	2012	4	29	17	1,8	W1203	17442	4378	488
1092833	1431049.08	6822653.46	2012-04-29 18:00	2012-04-29	2012	4	29	18	2,2	W1203	17442	4378	488
1092834	1431397.49	6822855.02	2012-04-29 19:00	2012-04-29	2012	4	29	19	7,4	W1203	17644	4378	488
1092835	1430496.78	6822940.35	2012-04-29 20:00	2012-04-29	2012	4	29	20	3	W1203	17642	4377	488
1092836	1430476.23	6822928.97	2012-04-29 21:00	2012-04-29	2012	4	29	21	2,6	W1203	17642	4377	488
1092837	1430482.44	6822940.88	2012-04-29 22:00	2012-04-29	2012	4	29	22	3	W1203	17642	4377	488
1092838	1430482.91	6822948.5	2012-04-29 23:00	2012-04-29	2012	4	29	23	3	W1203	17642	4377	488
1092839	1430479.64	6822936.62	2012-04-30 00:00	2012-04-30	2012	4	30	0	2,4	W1203	17642	4377	488
1092840	1430472.45	6822939.75	2012-04-30 01:00	2012-04-30	2012	4	30	1	3,2	W1203	17642	4377	488
1092841	1430478.31	6822940.52	2012-04-30 02:00	2012-04-30	2012	4	30	2	3,4	W1203	17642	4377	488
1092842	1430483.47	6822936.33	2012-04-30 03:00	2012-04-30	2012	4	30	3	2,2	W1203	17642	4377	488
1092843	1430483.26	6822935.11	2012-04-30 04:00	2012-04-30	2012	4	30	4	4,4	W1203	17642	4377	488
1092844	1430481.38	6822935.87	2012-04-30 05:00	2012-04-30	2012	4	30	5	3,6	W1203	17642	4377	488
1092845	1430482.11	6822945.96	2012-04-30 06:00	2012-04-30	2012	4	30	6	5	W1203	17642	4377	488
1092846	1430453.93	6822910.9	2012-04-30 07:00	2012-04-30	2012	4	30	7	2	W1203	17642	4377	488
1092847	1430216.51	6822996.55	2012-04-30 08:00	2012-04-30	2012	4	30	8	3,8	W1203	17642	4377	488
1092848	1430155.92	6822802.37	2012-04-30 09:00	2012-04-30	2012	4	30	9	2	W1203	17440	4377	488
1092849	1430155.43	6822784.55	2012-04-30 10:00	2012-04-30	2012	4	30	10	2	W1203	17440	4377	488
1092850	1429963.31	6823356.49	2012-04-30 11:00	2012-04-30	2012	4	30	11	3	W1203	17843	4478	488
1092851	1429952.48	6823360.19	2012-04-30 12:00	2012-04-30	2012	4	30	12	2,2	W1203	17843	4478	488
1092852	1430133.56	6823514.8	2012-04-30 13:00	2012-04-30	2012	4	30	13	2,2	W1203	17844	4478	488
1092853	1429971.72	6823559.7	2012-04-30 14:00	2012-04-30	2012	4	30	14	2,4	W1203	17843	4478	488
1092854	1430360.6	6823907.19	2012-04-30 15:00	2012-04-30	2012	4	30	15	4,6	W1203	18046	4478	488
1092855	1430382.53	6823926.8	2012-04-30 16:00	2012-04-30	2012	4	30	16	4,8	W1203	18046	4478	488
1092856	1430385.87	6823934.37	2012-04-30 17:00	2012-04-30	2012	4	30	17	2,4	W1203	18046	4478	488
1092857	1430548.69	6823942.68	2012-04-30 18:00	2012-04-30	2012	4	30	18	8,2	W1203	18047	4479	488
1092858	1430470.39	6824094.31	2012-04-30 19:00	2012-04-30	2012	4	30	19	3,6	W1203	18046	4478	488
1092859	1430529.57	6824073.58	2012-04-30 20:00	2012-04-30	2012	4	30	20	3,4	W1203	18047	4479	488
1092860	1430650.48	6824058.91	2012-04-30 21:00	2012-04-30	2012	4	30	21	2,6	W1203	18047	4479	488
1092861	1430563.88	6824086.17	2012-04-30 22:00	2012-04-30	2012	4	30	22	3,8	W1203	18047	4479	488
1092862	1430565.17	6824082.48	2012-04-30 23:00	2012-04-30	2012	4	30	23	6,4	W1203	18047	4479	488
1092863	1430563.38	6824078.76	2012-05-01 00:00	2012-05-01	2012	5	1	0	7,2	W1203	18047	4479	488
1092864	1430566.21	6824075.18	2012-05-01 01:00	2012-05-01	2012	5	1	1	2,4	W1203	18047	4479	488
1092865	1430559.73	6824077.21	2012-05-01 02:00	2012-05-01	2012	5	1	2	3	W1203	18047	4479	488
1092866	1430568.58	6824079.72	2012-05-01 03:00	2012-05-01	2012	5	1	3	3,4	W1203	18047	4479	488
1092867	1430570.6	6824068.27	2012-05-01 04:00	2012-05-01	2012	5	1	4	4,6	W1203	18047	4479	488
1092868	1430605.34	6824070.14	2012-05-01 05:00	2012-05-01	2012	5	1	5	3,4	W1203	18047	4479	488
1092869	1430775.09	6824215.21	2012-05-01 06:00	2012-05-01	2012	5	1	6	2,2	W1203	18047	4479	488
1092870	1430765.39	6824223.53	2012-05-01 07:00	2012-05-01	2012	5	1	7	2,8	W1203	18047	4479	488
1092871	1430813.01	6824359.55	2012-05-01 08:00	2012-05-01	2012	5	1	8	3	W1203	18249	4580	522
1092872	1430815.33	6824379.78	2012-05-01 09:00	2012-05-01	2012	5	1	9	3	W1203	18249	4580	522
1092873	1430745.79	6824323.42	2012-05-01 10:00	2012-05-01	2012	5	1	10	3	W1203	18249	4580	522
1092874	1430742.4	6824324.35	2012-05-01 11:00	2012-05-01	2012	5	1	11	2,6	W1203	18249	4580	522
1092875	1430728.6	6824332.11	2012-05-01 12:00	2012-05-01	2012	5	1	12	2	W1203	18249	4580	522
1092876	1430739.78	6824317.13	2012-05-01 13:00	2012-05-01	2012	5	1	13	4,6	W1203	18047	4479	488
1092877	1430810.88	6824360.91	2012-05-01 14:00	2012-05-01	2012	5	1	14	3,8	W1203	18249	4580	522
1092878	1430809.08	6824356.7	2012-05-01 15:00	2012-05-01	2012	5	1	15	1,8	W1203	18249	4580	522
1092879	1430415.93	6824328.94	2012-05-01 16:00	2012-05-01	2012	5	1	16	2,6	W1203	18248	4579	522
1092880	1430361.3	6824242.8	2012-05-01 17:00	2012-05-01	2012	5	1	17	1,8	W1203	18046	4478	488
1092881	1430371.06	6824242.89	2012-05-01 18:00	2012-05-01	2012	5	1	18	4,2	W1203	18046	4478	488
1092882	1430242.25	6823728.13	2012-05-01 19:00	2012-05-01	2012	5	1	19	2,8	W1203	17844	4478	488
1092883	1431110.22	6821378.03	2012-05-01 20:00	2012-05-01	2012	5	1	20	2,6	W1203	17038	4277	488
1092884	1432223.58	6822322	2012-05-01 21:00	2012-05-01	2012	5	1	21	2,2	W1203	17444	4379	488
1092885	1432226.4	6822317.47	2012-05-01 22:00	2012-05-01	2012	5	1	22	3,8	W1203	17444	4379	488
1092886	1432226.18	6822319.01	2012-05-01 23:00	2012-05-01	2012	5	1	23	3	W1203	17444	4379	488
1092887	1432231.65	6822314.34	2012-05-02 00:00	2012-05-02	2012	5	2	0	7	W1203	17444	4379	488
1092888	1432222.77	6822309.72	2012-05-02 01:00	2012-05-02	2012	5	2	1	3,4	W1203	17444	4379	488
1092889	1432230.06	6822327.11	2012-05-02 02:00	2012-05-02	2012	5	2	2	3,8	W1203	17444	4379	488
1092890	1432233.06	6822294.61	2012-05-02 03:00	2012-05-02	2012	5	2	3	2,4	W1203	17242	4278	488
1092891	1432238.32	6822310.95	2012-05-02 04:00	2012-05-02	2012	5	2	4	6	W1203	17444	4379	488
1092892	1432226.18	6822317.38	2012-05-02 05:00	2012-05-02	2012	5	2	5	2,4	W1203	17444	4379	488
1092893	1432229.36	6822318.47	2012-05-02 06:00	2012-05-02	2012	5	2	6	4	W1203	17444	4379	488
1092894	1432245.12	6822337.81	2012-05-02 07:00	2012-05-02	2012	5	2	7	1,6	W1203	17444	4379	488
1092895	1432700.5	6822688.26	2012-05-02 08:00	2012-05-02	2012	5	2	8	4,6	W1203	17445	4380	489
1092896	1432942.18	6822716.09	2012-05-02 09:00	2012-05-02	2012	5	2	9	2,6	W1203	17445	4380	489
1092897	1432957.34	6822708.46	2012-05-02 10:00	2012-05-02	2012	5	2	10	4,6	W1203	17445	4380	489
1092898	1432960.61	6822690.44	2012-05-02 11:00	2012-05-02	2012	5	2	11	4,2	W1203	17445	4380	489
1092899	1432953.18	6822691.58	2012-05-02 12:00	2012-05-02	2012	5	2	12	2,8	W1203	17445	4380	489
1092900	1432958.28	6822688.46	2012-05-02 13:00	2012-05-02	2012	5	2	13	2,4	W1203	17445	4380	489
1092901	1432960.46	6822688.16	2012-05-02 14:00	2012-05-02	2012	5	2	14	4	W1203	17445	4380	489
1092902	1432947.22	6822707.82	2012-05-02 15:00	2012-05-02	2012	5	2	15	1,6	W1203	17445	4380	489
1092903	1432971.03	6822571.83	2012-05-02 16:00	2012-05-02	2012	5	2	16	2,4	W1203	17445	4380	489
1092904	1432770.76	6822567.68	2012-05-02 17:00	2012-05-02	2012	5	2	17	1,8	W1203	17445	4380	489
1092905	1432465.02	6822563.31	2012-05-02 18:00	2012-05-02	2012	5	2	18	3,4	W1203	17444	4379	488
1092906	1432342.62	6822172.72	2012-05-02 19:00	2012-05-02	2012	5	2	19	2,6	W1203	17242	4278	488
1092907	1432347.84	6822188.3	2012-05-02 20:00	2012-05-02	2012	5	2	20	3,2	W1203	17242	4278	488
1092908	1432341.86	6822192.71	2012-05-02 21:00	2012-05-02	2012	5	2	21	2	W1203	17242	4278	488
1092909	1432339.7	6822184.51	2012-05-02 22:00	2012-05-02	2012	5	2	22	2,8	W1203	17242	4278	488
1092910	1432345.33	6822193.97	2012-05-02 23:00	2012-05-02	2012	5	2	23	2	W1203	17242	4278	488
1092911	1432345.73	6822190.61	2012-05-03 00:00	2012-05-03	2012	5	3	0	5,2	W1203	17242	4278	488
1092912	1432350.53	6822181.29	2012-05-03 01:00	2012-05-03	2012	5	3	1	4,4	W1203	17242	4278	488
1092913	1432344.38	6822187.52	2012-05-03 02:00	2012-05-03	2012	5	3	2	2	W1203	17242	4278	488
1092914	1432343.53	6822191.38	2012-05-03 03:00	2012-05-03	2012	5	3	3	2,4	W1203	17242	4278	488
1092915	1432350.99	6822180.79	2012-05-03 04:00	2012-05-03	2012	5	3	4	5,6	W1203	17242	4278	488
1092916	1432361.74	6822156.38	2012-05-03 05:00	2012-05-03	2012	5	3	5	6,8	W1203	17242	4278	488
1092917	1432005.86	6822085.04	2012-05-03 06:00	2012-05-03	2012	5	3	6	2,6	W1203	17242	4278	488
1092918	1432010.05	6822079.01	2012-05-03 07:00	2012-05-03	2012	5	3	7	3,4	W1203	17242	4278	488
